
=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112536_HDR.jpg, mathes: 35954, good: 618, delta: 35336, time/size: 33.9072779264 sec, localization error: 632.21372048
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112542_HDR.jpg, mathes: 35954, good: 1173, delta: 34781, time/size: 35.6943696356 sec, localization error: 201.065715356
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112546_HDR.jpg, mathes: 35954, good: 873, delta: 35081, time/size: 32.7323814756 sec, localization error: 95.1582516039
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112549_HDR.jpg, mathes: 35954, good: 534, delta: 35420, time/size: 39.9257275182 sec, localization error: 130.81136787
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112553_HDR.jpg, mathes: 35954, good: 807, delta: 35147, time/size: 34.2937926785 sec, localization error: 269.64444282
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112557_HDR.jpg, mathes: 35954, good: 1416, delta: 34538, time/size: 35.2575701576 sec, localization error: 158.77435603
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112604_HDR.jpg, mathes: 35954, good: 1397, delta: 34557, time/size: 36.7201525091 sec, localization error: 345.686616933
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112608_HDR.jpg, mathes: 35954, good: 678, delta: 35276, time/size: 34.0909811081 sec, localization error: 573.83108947
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112632_HDR.jpg, mathes: 35954, good: 299, delta: 35655, time/size: 54.7964954419 sec, localization error: 1145.58751423
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112711_HDR.jpg, mathes: 35954, good: 217, delta: 35737, time/size: 63.1066650324 sec, localization error: 919.126344768
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112730_HDR.jpg, mathes: 35954, good: 370, delta: 35584, time/size: 65.4490668999 sec, localization error: 295.882520116
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112735_HDR.jpg, mathes: 35954, good: 393, delta: 35561, time/size: 19.5254762296 sec, localization error: 439.735828627
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112740_HDR.jpg, mathes: 35954, good: 288, delta: 35666, time/size: 80.5625824822 sec, localization error: 730.2724353
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112746_HDR.jpg, mathes: 35954, good: 335, delta: 35619, time/size: 72.3176161496 sec, localization error: 620.027202006
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112755_HDR.jpg, mathes: 35954, good: 290, delta: 35664, time/size: 61.4181534913 sec, localization error: 975.57776622
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112825_HDR.jpg, mathes: 35954, good: 232, delta: 35722, time/size: 90.6283239042 sec, localization error: 393.162310887
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112830_HDR.jpg, mathes: 35954, good: 288, delta: 35666, time/size: 45.4441966002 sec, localization error: 498.384120746
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112834_HDR.jpg, mathes: 35954, good: 300, delta: 35654, time/size: 59.0532414144 sec, localization error: 257.601149063
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112846_HDR.jpg, mathes: 35954, good: 243, delta: 35711, time/size: 52.6409972807 sec, localization error: 568.541910198
